140311_1026	1	subjects	Period	Subject	Group	Profit	TotalProfit	Participate	AChoice[1]	AChoice[2]	AChoice[3]	AChoice[4]	AChoice[5]	AChoice[6]	AChoice[7]	BChoice1[1]	BChoice1[2]	BChoice1[3]	BChoice1[4]	BChoice1[5]	BChoice1[6]	BChoice1[7]	BChoice1[8]	BChoice2[1]	BChoice2[2]	BChoice2[3]	BChoice2[4]	BChoice2[5]	BChoice2[6]	BChoice2[7]	BChoice2[8]	BChoice3[1]	BChoice3[2]	BChoice3[3]	BChoice3[4]	BChoice3[5]	BChoice3[6]	BChoice3[7]	BChoice3[8]	ug_self	ug_other	ug_accept[1]	ug_accept[2]	ug_accept[3]	ug_accept[4]	ug_accept[5]	ug_accept[6]	guess	guessBrackets[1]	guessBrackets[2]	guessBrackets[3]	guessBrackets[4]	guessBrackets[5]	brackets[1]	brackets[2]	brackets[3]	brackets[4]	brackets[5]	prog_rand	prog_randpunisher	prog_rand2	prog_rank	role	subrole	prog_rank2	ugRole	ugGroup	prog_role	prog_subrole	prog_punisher	prog_A1_choice	prog_A2_choice	prog_A3_choice	prog_decision_num	stage1Profit	stage2bProfit	stage2aProfit	stage3Profit	stage4Profit	gamble[1]	gamble[2]	gamble[3]	gamble[4]	gamble[5]	risk_choice	risk_location	circle_random	perturbation_multiplier	perturb[1]	perturb[2]	perturb[3]	perturb[4]	show_results	winner	show_error	click_x	click_y	prog_show_A	prog_showContinue	test	test2	test3	TimeAllocation2555555Stage1OK	TimeAllocation1999111Stage1OK	TimeContinueStage1OK	TimeOKStage1OK	TimeAllocation2555555Stage2OK	TimeAllocation1999111Stage2OK	TimeContinueStage2OK	TimeOKStage2OK	TimeAllocation2555555Stage3OK	TimeAllocation1999111Stage3OK	TimeContinueStage3OK	TimeOKStage3OK	TimeAllocation2555555Stage4OK	TimeAllocation1999111Stage4OK	TimeContinueStage4OK	TimeOKStage4OK	TimeAllocation2555555Stage5OK	TimeAllocation1999111Stage5OK	TimeContinueStage5OK	TimeOKStage5OK	TimeAllocation2555555Stage6OK	TimeAllocation1999111Stage6OK	TimeContinueStage6OK	TimeOKStage6OK	TimeAllocation2555555Stage7OK	TimeAllocation1999111Stage7OK	TimeContinueStage7OK	TimeOKStage7OK	TimeAllocation2555555Stage8OK	TimeAllocation1999111Stage8OK	TimeContinueStage8OK	TimeOKStage8OK	groupBeautyContest	TimeContinueBCGameOK	sumGuessPercentage	true	false	displayContinueButton	TimeSubmitBCInstructionsOK	TimeContinueBCInstructionsOK	distance	BC_winner	diffBrackets	TimeOKUGGame1OK	TimeOKUGGame2OK	TimeOKEGTaskOK	results_A1Choice	results_A2Choice	results_A3Choice	results_A1Punishment	results_A2Punishment	results_A3Punishment	prog_ug_t1	prog_ug_t2	prog_ug_accepted	TimeOKResultsOK	
140311_1026	1	subjects	1	1	3	0	0	1	1	1	1	2	2	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	2	0	0	0	1	1	1	75	20	20	20	20	20	67	17	0	17	0	0.6822242753963099	1	0.4748647271072793	14	1	1	11	2	6	1	3	1	-1	-1	-1	8	9	0	0	0	6.4	2	1	5	4	3	3	5	1	0	0	0	0	0	1	1	0	-1	-1	0	1	0	0	0	0	-177	-174	0	0	6	11	0	0	8	11	0	11	0	15	0	9	0	99999	0	0	12	99999	0	7	0	15	0	0	0	0	0	1	-9	100	1	0	0	1	-1	63.94444721637032	0	93	-72	-14	-37	1	2	1	0	0	0	3	2	0	-42	
140311_1026	1	subjects	1	2	3	0	0	1	-1	-1	-1	-1	-1	-1	-1	3	4	4	0	5	0	0	0	3	3	0	4	0	5	0	0	1	0	3	3	0	0	5	0	2	3	0	0	1	1	1	1	12	60	30	10	0	0	67	17	0	17	0	0.8953995475989764	2	0.8789442786383184	17	2	3	16	1	8	2	3	1	2	2	2	9	1	0	0	2	9.600000000000001	5	4	2	3	1	5	1	3	0	0	0	0	0	1	1	0	-1	-1	5	1	8	6	0	0	0	-165	-190	0	0	7	-21	0	0	4	-9	0	0	6	-19	0	0	7	2	0	0	12	5	0	0	11	5	-	-	9	2	1	-29	100	1	0	0	-19	-22	0.9445014299754735	0	47	-45	-19	-21	1	2	1	0	0	0	2	3	1	-60	
140311_1026	1	subjects	1	3	2	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	1	1	1	1	1	1	99	1	0	0	0	67	17	0	17	0	0.5622059025625725	1	0.5106522084729058	11	2	3	13	2	7	2	3	3	2	2	2	9	5	0	0	2	2.4	3	5	4	1	2	2	5	0	0	0	0	0	0	1	0	0	-1	-1	5	1	8	6	0	0	0	-2	-174	0	0	7	4	0	0	12	8	0	0	9	5	0	0	13	9	0	0	13	10	0	0	7	4	-	-	12	9	1	-32	100	1	0	0	-40	-42	10.05560898169031	0	65	-46	-15	-16	2	2	2	0	0	0	3	2	1	-39	
140311_1026	1	subjects	1	4	1	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	1	1	1	1	12	68	28	4	0	0	67	17	0	17	0	0.0004688180053927088	2	0.9946043691572754	1	2	1	18	1	9	2	3	2	2	2	2	9	1	0	5	3	2.4	3	5	4	1	2	2	5	0	0	0	0	0	0	1	0	0	-1	-1	5	1	8	6	0	0	0	-182	-187	0	0	5	-3	0	0	-41	-45	0	0	10	5	0	0	10	2	0	0	12	5	0	0	7	3	-	-	12	6	1	-38	100	1	0	0	-56	-58	0.9444537166541901	1	33	-60	-22	-17	2	1	1	0	0	0	3	2	1	-51	
140311_1026	1	subjects	1	5	1	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	1	1	1	1	15	40	40	10	5	5	67	17	0	17	0	0.275646080856978	1	0.2191718063406515	3	2	2	3	2	2	2	3	2	2	2	2	9	1	0	0	1	3.2	4	3	1	2	5	1	3	2	0	0	0	0	0	1	1	0	-1	-1	5	1	8	6	0	0	0	-169	-177	0	0	4	-3	0	0	10	3	0	0	9	3	0	0	11	4	0	0	10	3	0	0	12	6	-	-	11	5	1	-23	100	1	0	0	-34	-38	3.944518594912143	0	77	-64	-20	-2	2	1	1	0	0	0	4	1	1	-46	
140311_1026	1	subjects	1	6	2	0	0	1	2	2	2	2	2	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	2	0	1	1	1	1	1	12	70	30	0	0	0	67	17	0	17	0	0.356171778569078	2	0.8341892765994133	8	1	1	15	2	8	1	3	3	-1	-1	-1	8	5	0	0	3	9.600000000000001	2	1	5	4	3	5	3	1	0	0	0	0	0	1	1	0	-1	-1	0	1	0	0	0	-137	0	-134	0	11	0	14	0	13	0	14	0	11	0	14	0	5	0	12	0	10	0	13	0	14	0	15	0	-	-	0	0	1	-10	100	1	0	0	-17	-23	0.9444573293819103	0	33	-32	-11	-4	2	2	2	0	0	0	2	3	1	-45	
140311_1026	1	subjects	1	7	1	0	0	1	1	1	1	1	1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	2	0	1	1	1	1	1	1	60	40	0	0	0	67	17	0	17	0	0.3207520047765002	3	0.4164910742158494	6	1	3	8	1	4	1	3	2	-1	-1	-1	8	9	0	0	3	9.600000000000001	2	1	5	4	3	5	3	1	0	0	0	0	0	1	1	0	-1	-1	0	1	0	0	0	0	-185	-172	0	0	3	8	0	0	-18	-17	0	0	9	11	0	0	10	13	0	0	9	13	0	8	0	13	0	-	-	0	0	1	-178	100	1	0	0	-42	-44	10.05564229900795	0	47	-77	-12	-49	2	1	1	0	0	0	3	2	1	-41	
140311_1026	1	subjects	1	8	2	0	0	1	1	1	1	2	1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	1	0	1	1	1	1	1	12	60	20	10	5	5	67	17	0	17	0	0.5706741933574314	3	0.224739253625618	12	1	3	4	1	2	1	3	3	-1	-1	-1	8	5	0	0	4	0	2	1	5	4	3	5	3	1	0	0	0	0	0	1	0	0	-1	-1	0	1	0	0	0	0	-148	-142	0	0	4	13	0	0	8	15	0	9	0	14	0	0	10	14	0	0	10	14	0	11	0	14	0	-	-	0	0	1	-19	100	1	0	0	-81	-85	0.9444604590861152	0	37	-57	-23	-43	2	2	2	0	0	0	4	1	1	-30	
140311_1026	1	subjects	1	9	1	0	0	1	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	2	1	1	1	1	1	1	66	15	15	40	15	15	67	17	0	17	0	0.308639648048505	2	0.433773820490471	4	1	2	9	2	5	1	3	2	-1	-1	-1	8	9	0	0	2	3.2	2	1	5	4	3	1	2	1	0	0	0	0	0	1	1	0	-1	-1	0	1	0	0	0	0	-168	5	0	0	8	11	0	0	12	14	0	0	12	14	0	0	13	14	0	0	13	15	0	0	11	15	0	-	-	0	0	1	18	100	1	0	0	-13	-14	54.944477491203	0	111	-40	-14	3	2	1	1	0	0	0	3	2	1	-17	
140311_1026	1	subjects	1	10	2	0	0	1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	1	1	1	1	1	15	50	40	10	0	0	67	17	0	17	0	0.4985198646311275	1	0.05544754353139901	9	2	2	1	2	1	2	3	3	2	2	2	9	5	0	0	2	6.4	2	1	5	4	3	3	5	1	0	0	0	0	0	1	1	0	-1	-1	5	1	8	6	0	0	0	-181	-211	0	0	11	0	0	0	11	6	0	0	11	2	0	0	11	4	0	0	10	-1	0	0	12	5	-	-	11	8	1	-97	100	1	0	0	-88	-104	3.944526130386615	0	67	-101	-26	-111	2	2	2	0	0	0	3	2	1	-75	
