"Date","Treatment","Period","Subject","Group","Profit","TotalProfit","Participate","role","subrole","proposer","punisher","proposal","winning_allocation","winning_allocation_real","a1choice","a2choice","a3choice","a1choice_real","a2choice_real","a3choice_real","bchoice1","bchoice2","bchoice3","bchoice_real[1]","bchoice_real[2]","bchoice_real[3]","allocationA","allocationB","ug_self","ug_other","ug_accept[1]","ug_accept[2]","ug_accept[3]","ug_accept[4]","ug_accept[5]","ug_accept[6]","guess","guessBrackets[1]","guessBrackets[2]","guessBrackets[3]","guessBrackets[4]","guessBrackets[5]","brackets[1]","brackets[2]","brackets[3]","brackets[4]","brackets[5]","prog_rand","prog_randpunisher","prog_rand2","prog_rand3","prog_rank","prog_rank2","ugRole","ugGroup","role_rank","proposal_submitted","current_voter","a1choice_p","a2choice_p","a3choice_p","payment_period","stage1profit","profit_stage1role","profit_stage1subrole","profit_stage1proposer","profit_stage1proposal","profit_stage1punisher","profit_stage1a1","profit_stage1a2","profit_stage1a3","profit_stage1b1","profit_stage1b2","profit_stage1b3","profit_winningAllocation","ispaymentround","stage2bProfit","stage2aProfit","stage3Profit","stage4Profit","gamble[1]","gamble[2]","gamble[3]","gamble[4]","gamble[5]","risk_choice","risk_location","circle_random","perturbation_multiplier","perturb[1]","perturb[2]","perturb[3]","perturb[4]","show_results","winner","show_error","click_x","click_y","TimeOKInstructionsIOK","q1","q2","q3","q4","q5","q6","q7","q1a","q2a","q3a","q4a","q5a","q6a","q7a","q1c","q2c","q3c","q4c","q5c","q6c","q7c","allright","show_info","interval","TimeSubmitQuiz1OK","TimeContinueQuiz1OK","TimeTryAgainQuiz1OK","TimeSubmitQuiz2OK","TimeContinueQuiz2OK","TimeTryAgainQuiz2OK","TimeSubmitQuiz3OK","TimeContinueQuiz3OK","TimeTryAgainQuiz3OK","TimeSubmitQuiz4OK","TimeContinueQuiz4OK","TimeTryAgainQuiz4OK","LeaveStage","TimeSubmitADecisionOK","TimeVoteADecisionOK","showWin","bsdone","show_errors","TimeSubmitBDecisionOK","TimeOKBDecisionOK","groupBeautyContest","TimeContinueBCGame1OK","sumGuessPercentage","true","false","displayContinueButton","TimeSubmitBCGame2OK","TimeContinueBCGame2OK","distance","BC_winner","diffBrackets","TimeOKUGGame1OK","TimeOKUGGame2OK","TimeOKEGTaskOK","prog_ug_t1","prog_ug_t2","prog_ug_accepted","TimeOKFinalResultsOK"
"141023_1115",1,1,1,1,0,0,0,0,1,3,2,2,1,1,1,1,2,1,1,3,-1,-1,-1,0,0,0,9,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0.288990799937859,3,0.868779836627087,0.365211282095505,2,10,1,5,1,1,4,1,-1,-1,21,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,-1,5,4,2,3,1,-1,-1,3,0,0,0,0,0,0,-1,0,-1,-1,-1197,1,1,1,1,0,1,-1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,11,-1,-3,-4,0,-69,-70,-65,-14,-16,0,-28,-29,-25,0,0,14,1,2,0,0,0,1,0,0,1,0,0,0,0,0.500092982553548,0,105,0,0,0,-1,-1,-1,0
"141023_1115",1,1,2,2,0,0,0,1,1,3,3,3,2,3,1,2,2,2,3,3,0,0,0,0,0,0,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0.635078022086563,3,0.267049663824518,0.80670933882087,7,5,2,3,4,1,4,-1,-1,-1,19,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,-1,4,3,1,2,5,-1,-1,2,0,0,0,0,0,0,-1,0,-1,-1,-1203,1,1,1,1,0,1,-1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,11,-1,-6,-14,NA,-27,-27,-21,4,3,0,-2,-3,0,0,0,0,1,2,0,24,0,1,NA,0,1,0,NA,NA,NA,0.500055179048681,0,105,NA,NA,NA,-1,-1,-1,NA
"141023_1115",1,1,3,2,0,0,0,0,2,3,3,3,2,3,1,2,2,2,3,3,-1,-1,-1,0,0,0,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0.847536900941067,2,0.337906995014244,0.819783268878135,10,6,1,3,5,1,4,-1,2,-1,28,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,-1,2,1,5,4,3,-1,-1,1,0,0,0,0,0,0,-1,0,-1,-1,-1204,1,1,1,1,0,1,-1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,11,-1,2,1,NA,-44,-45,-41,6,6,0,5,4,8,0,0,-18,1,2,0,0,0,1,NA,0,1,0,NA,NA,NA,0.500075381694164,0,105,NA,NA,NA,-1,-1,-1,NA
"141023_1115",1,1,4,1,0,0,0,1,1,3,2,2,1,1,1,1,2,1,1,3,5,2,0,0,0,0,9,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0.10601817914565,2,0.258437046901526,0.754991082826159,1,4,1,2,1,1,4,-1,-1,-1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,-1,4,3,1,2,5,-1,-1,2,0,0,0,0,0,0,-1,0,-1,-1,-1204,1,1,1,1,0,1,-1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,11,-1,-54,-56,NA,-81,-84,-43,-61,-62,-42,-5,-5,-2,0,0,0,1,2,0,-4,1,1,NA,0,1,0,NA,NA,NA,0.50006716417855,0,105,NA,NA,NA,-1,-1,-1,NA
"141023_1115",1,1,5,1,0,0,0,0,3,3,2,2,1,1,1,1,2,1,1,3,-1,-1,-1,0,0,0,9,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0.552694116510774,1,0.896747490808716,0.616028325453414,6,11,2,6,3,1,4,-1,-1,2,9,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,5,1,-1,3,5,4,1,2,-1,-1,0,0,0,0,0,0,0,-1,0,-1,-1,-1200,1,1,1,1,0,1,-1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,11,-1,-4,-7,NA,-6,-8,0,6,2,0,-16,-17,-6,0,23,-4,1,2,0,0,0,1,NA,0,1,0,NA,NA,NA,0.500021880439493,1,105,NA,NA,NA,-1,-1,-1,NA
"141023_1115",1,1,6,2,0,0,0,1,2,3,3,3,2,3,1,2,2,2,3,3,0,0,0,0,0,0,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0.839827469941148,3,0.0354582229794274,0.22293632441337,9,2,1,1,5,1,4,-1,-1,-1,5,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,-1,2,1,5,4,3,-1,-1,1,0,0,0,0,0,0,-1,0,-1,-1,-1200,1,1,1,1,0,1,-1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,11,-1,-7,-10,NA,-15,-16,0,4,4,0,-59,-62,-56,0,0,0,1,2,0,24,0,1,NA,0,1,0,NA,NA,NA,0.500071993685361,0,105,NA,NA,NA,-1,-1,-1,NA
"141023_1115",1,1,7,1,0,0,0,0,2,3,2,2,1,1,1,1,2,1,1,3,-1,-1,-1,0,0,0,9,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0.363857562357494,1,0.588065895525769,0.0892851804798866,4,9,2,5,2,1,4,-1,1,-1,13,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,-1,2,1,5,4,3,-1,-1,1,0,0,0,0,0,0,-1,0,-1,-1,-1215,1,1,1,1,0,1,-1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,11,-1,-2,-4,NA,-40,-41,-14,-10,-11,0,2,1,4,0,0,0,1,2,0,0,0,1,NA,0,1,0,NA,NA,NA,0.50008034787098,0,105,NA,NA,NA,-1,-1,-1,NA
"141023_1115",1,1,8,1,0,0,0,1,3,3,2,2,1,1,1,1,2,1,1,3,0,0,5,0,0,0,9,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0.423329532809243,2,0.407409574560546,0.251246243366621,5,8,1,4,3,1,4,-1,-1,-1,14,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,-1,2,1,5,4,3,-1,-1,1,0,0,0,0,0,0,-1,0,-1,-1,-1201,1,1,1,1,0,1,-1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,11,-1,-45,-46,NA,-127,-140,-121,-223,-225,-161,-39,-40,-28,0,0,0,1,2,0,19,0,1,NA,0,1,0,NA,NA,NA,0.500051377300756,0,105,NA,NA,NA,-1,-1,-1,NA
"141023_1115",1,1,9,2,0,0,0,1,3,3,3,3,2,3,1,2,2,2,3,3,0,0,0,0,0,0,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0.98028730087927,2,0.155300756988721,0.171155797862986,11,3,2,2,6,1,4,-1,-1,-1,19,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,-1,3,5,4,1,2,-1,-1,0,0,0,0,0,0,0,-1,0,-1,-1,-1203,1,1,1,1,0,1,-1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,11,-1,0,-3,NA,-20,-22,0,6,4,0,-22,-33,-17,0,0,0,1,2,0,14,0,1,NA,0,1,0,NA,NA,NA,0.500028348887399,0,105,NA,NA,NA,-1,-1,-1,NA
"141023_1115",1,1,10,1,0,0,0,1,2,3,2,2,1,1,1,1,2,1,1,3,0,0,0,0,0,0,9,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,0,0,0.315974568163964,3,0.0189743302850864,0.284125006889983,3,1,2,1,2,1,4,-1,-1,-1,5,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,-1,2,1,5,4,3,-1,-1,1,0,0,0,0,0,0,-1,0,-1,-1,-1193,1,1,1,1,0,1,-1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,11,-1,-46,-50,NA,-10,-15,0,-5,-7,0,-145,-145,-136,0,0,0,1,2,0,14,0,1,NA,0,1,0,NA,NA,NA,0.500095969023461,0,105,NA,NA,NA,-1,-1,-1,NA
